! Channel Selection & Surface emissivity  & error
  300
    1 1 0 -1.0  1.25
    2 2 0 -1.0  2.08
    3 3 1 -1.0  3.34
    4 4 1 -1.0  2.90
    5 5 1 -1.0  3.58
    6 6 1 -1.0  3.26
    7 7 0 -1.0  2.15
    8 8 0 -1.0  2.18
    9 9 1 -1.0  2.20
   10 10 1 -1.0  2.88
   11 11 1 -1.0  2.50
   12 12 1 -1.0  2.14
   13 13 1 -1.0  2.85
   14 14 0 -1.0  2.27
   15 15 0 -1.0  2.31
   16 16 1 -1.0  2.40
   17 17 0 -1.0  2.40
   18 18 0 -1.0  2.50
   19 19 1 -1.0  3.23
   20 20 0 -1.0  2.61
   21 21 0 -1.0  2.76
   22 22 1 -1.0  2.63
   23 23 0 -1.0  2.79
   24 24 1 -1.0  2.54
   25 25 0 -1.0  2.73
   26 26 1 -1.0  2.64
   27 27 1 -1.0  2.76
   28 28 0 -1.0  2.74
   29 29 1 -1.0  3.10
   30 30 0 -1.0  2.55
   31 31 0 -1.0  2.43
   32 32 1 -1.0  4.49
   33 33 1 -1.0  4.52
   34 34 1 -1.0  4.06
   35 35 0 -1.0  3.01
   36 36 0 -1.0  3.37
   37 37 0 -1.0  3.53
   38 38 1 -1.0  3.08
   39 39 0 -1.0  3.80
   40 40 0 -1.0  4.23
   41 41 0 -1.0  3.83
   42 42 0 -1.0  4.33
   43 43 0 -1.0  4.85
   44 44 0 -1.0  5.75
   45 45 0 -1.0  6.33
   46 46 0 -1.0  6.83
   47 47 0 -1.0  7.11
   48 48 0 -1.0  7.24
   49 49 0 -1.0  7.21
   50 50 0 -1.0  7.31
   51 51 0 -1.0  7.40
   52 52 0 -1.0  7.07
   53 53 0 -1.0  7.16
   54 54 0 -1.0  6.89
   55 55 0 -1.0  6.60
   56 56 0 -1.0  6.28
   57 57 0 -1.0  5.71
   58 58 0 -1.0  4.87
   59 59 0 -1.0  4.47
   60 60 0 -1.0  3.93
   61 61 1 -1.0  3.51
   62 62 0 -1.0  3.25
   63 63 1 -1.0  3.89
   64 64 0 -1.0  2.78
   65 65 1 -1.0  3.05
   66 66 0 -1.0  2.45
   67 67 0 -1.0  2.32
   68 68 0 -1.0  2.45
   69 69 0 -1.0  2.76
   70 70 1 -1.0  2.43
   71 71 1 -1.0  2.14
   72 72 1 -1.0  2.30
   73 73 1 -1.0  2.25
   74 74 1 -1.0  2.45
   75 75 1 -1.0  2.90
   76 76 0 -1.0  2.79
   77 77 1 -1.0  2.94
   78 78 1 -1.0  2.45
   79 79 1 -1.0  2.78
   80 80 1 -1.0  2.91
   81 81 0 -1.0  3.06
   82 82 0 -1.0  3.51
   83 83 0 -1.0  3.03
   84 84 1 -1.0  2.78
   85 85 1 -1.0  2.65
   86 86 1 -1.0  2.73
   87 87 1 -1.0  2.79
   88 88 1 -1.0  3.17
   89 89 1 -1.0  3.41
   90 90 1 -1.0  3.16
   91 91 1 -1.0  3.74
   92 92 1 -1.0  4.23
   93 93 0 -1.0  4.08
   94 94 0 -1.0  5.05
   95 95 0 -1.0  4.71
   96 96 0 -1.0  5.24
   97 97 0 -1.0  5.05
   98 98 0 -1.0  4.85
   99 99 0 -1.0  5.27
  100 100 0 -1.0  5.14
  101 101 0 -1.0  5.84
  102 102 0 -1.0  5.61
  103 103 0 -1.0  5.84
  104 104 0 -1.0  5.89
  105 105 0 -1.0  5.74
  106 106 0 -1.0  6.12
  107 107 0 -1.0  5.82
  108 108 0 -1.0  5.58
  109 109 1 -1.0  5.76
  110 110 0 -1.0  5.45
  111 111 0 -1.0  4.92
  112 112 1 -1.0  5.13
  113 113 1 -1.0  4.67
  114 114 0 -1.0  5.19
  115 115 0 -1.0  6.10
  116 116 0 -1.0  6.37
  117 117 0 -1.0  6.37
  118 118 0 -1.0  6.48
  119 119 0 -1.0  6.40
  120 120 0 -1.0  6.16
  121 121 1 -1.0  5.64
  122 122 1 -1.0  4.33
